,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,6645,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/VfGMcRzQpjPK_mohdariffinmohdrashid_sf.jpg,Mohd Ariffin Mohd Rashid,67,,01-01,0,,,mohdariffinmohdrashid,,1,423,,71.0,0,0,0,2020-10-26T04:10:14.000Z,2021-10-14T02:49:52.000Z,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/VfGMcRzQpjPK_mohdariffinmohdrashid_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mutton Steak']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
1,6646,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/C0V7fZoaE8Lm_effandi_sf.jpg,Effandi Food Corner,67,,01-02,0,,,effandi,,1,423,Mon - Sun: 10am-10pm,0.0,0,0,82,2020-10-26T04:10:14.000Z,2021-10-14T02:49:52.000Z,"[{'Name': 'Roti John', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Steak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/C0V7fZoaE8Lm_effandi_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Roti John', 'Mutton Steak']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
2,6647,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/Ih6P2WL6ckKB_hajimabdulrajak_sf.jpg,Haji M. Abdul Rajak Stall Soup Kambing,66,,01-03,0,,,hajimabdulrajak,,1,423,"Wed - Mon: 11am-11.30pm, Closed on Tue",0.0,0,1,75,2020-10-26T04:10:15.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/Ih6P2WL6ckKB_hajimabdulrajak_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Indian)'],False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
3,6648,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/dmuD4UiK16OP_menjamuselera_sf.jpg,Menjamu Selera Drink Stall,0,,01-04,0,,,menjamuselera,,1,423,,0.0,0,0,70,2020-10-26T04:10:15.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/dmuD4UiK16OP_menjamuselera_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
4,6649,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/6wqDNhQKhJcZ_mohamedgani_sf.jpg,Mohamed Gani Mutton Soup,67,,01-05,0,,,mohamedgani,,1,423,,77.0,0,0,0,2020-10-26T04:10:15.000Z,2021-10-14T02:49:53.000Z,"[{'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/6wqDNhQKhJcZ_mohamedgani_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Mutton Soup (Indian)'],False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
5,6650,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KyLYjyupY1vX_shahanafatimah_sf.jpg,Shahana Fatimah Food Stall,68,,01-06,0,,,shahanafatimah,,1,423,Mon - Sun: 11am-11.30pm,65.0,0,0,0,2020-10-26T04:10:15.000Z,2021-10-14T02:49:54.000Z,"[{'Name': 'Mee Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Tulang Merah', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KyLYjyupY1vX_shahanafatimah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Goreng', 'Tulang']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
6,6651,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/KjAcH9c5TzPz_hajjahratmah_sf.jpg,Hajjah Ratmah Family Food Stall,70,,01-07,0,,,hajjahratmah,,1,423,,0.0,1,0,64,2020-10-26T04:10:15.000Z,2021-12-20T15:46:25.000Z,"[{'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/KjAcH9c5TzPz_hajjahratmah_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Lontong']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
7,6652,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/nJfzzuFJghkE_penang_sf.jpg,Penang Fried Kway Teow,72,,01-08,0,,,penang,,1,423,"Wed - Sun: 11am-6pm, Closed on Mon & Tue",0.0,0,1,77,2020-10-26T04:10:15.000Z,2021-11-08T16:13:46.000Z,"[{'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/nJfzzuFJghkE_penang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Char Kway Teow'],False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
8,6653,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/guankee_sf.jpg,Guan Kee Cooked Food,71,,01-09,0,,,guankee,,1,423,,0.0,1,0,70,2020-10-26T04:10:15.000Z,2021-10-14T02:49:55.000Z,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/guankee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': 'Dumplings', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Chwee Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Dumplings', 'Chwee Kueh']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
9,6654,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/sengkee_sf.jpg,Seng Kee Minced Pork Noodles,69,,01-10,0,,,sengkee,,1,423,,0.0,0,0,72,2020-10-26T04:10:15.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Minced Meat Noodles', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 17 Upper Boon Keng Road - 84 stalls/sengkee_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Minced Meat Noodles', 'Bak Chor Mee']",False,upperboonkeng17,Upper Boon Keng Road Blk 17,423,,,en,[], 
