,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,7597,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/78oXLVzYlQqE_mrdum_sf.jpg,Mr Dum Briyani Power Dum Briyani Speciality,67,West Coast Drive Blk 503,01-78,,24 hours daily,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Lt5V796Qkt5M_ud1pWNnkiYW3_mrdum_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/78oXLVzYlQqE_mrdum_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Biryani']
1,7598,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201209/2tLOnEtpw6Kh_Chon Sing Huat Cooked Food _Stall.jpg,Chon Sing Huat Cooked Food,71,West Coast Drive Blk 503,01-77,,Mon - Sun: 6am-1pm,0.0,"[{'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Pork Organ Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/2tLOnEtpw6Kh_Chon%20Sing%20Huat%20Cooked%20Food%20_Stall.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/ia7cJK5URrTh_Chon%20Sing%20Huat%20Cooked%20Food%20_Stall2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/rHduMi67UFKW_Chon%20Sing%20Huat%20Cooked%20Food_Menu2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Bak Kut Teh', 'Pork Organ Soup']"
2,7599,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/IyUPEaKKbN8q_XbVIzJeXxpfZ_rahmattohoriginal_m1.jpg,Rahmat Toh Original West Coast Pineapple Drink,0,West Coast Drive Blk 503,01-76,,,73.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/IyUPEaKKbN8q_XbVIzJeXxpfZ_rahmattohoriginal_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/19hK4w292ALF_rahmattohoriginal_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
3,7600,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/ac9o7KkYC38L_noorali_sf.jpg,Noor Ali,68,West Coast Drive Blk 503,01-75,,,69.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/EekxjTH1K0kP_PyhZt1iKJwoj_noorali_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/ac9o7KkYC38L_noorali_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Sambal Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Lemak', 'Nasi Goreng']"
4,7601,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/n6hT8eJ3mSpp_ibrahimshentonwaypower_sf.jpg,Ibrahim Stall Shenton Way Power,72,West Coast Drive Blk 503,01-74,,Mon - Sun: 11am-11pm,0.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/vB6ilZsF5NqL_vhO8QdWtbZLk_ibrahimshentonwaypower_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/n6hT8eJ3mSpp_ibrahimshentonwaypower_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Biryani', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mutton Soup (Indian)', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Biryani', 'Mutton Soup (Indian)']"
5,7602,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/PBZOQuweg213_abdhussalam_sf.jpg,Abdhus Salam Rojak,68,West Coast Drive Blk 503,01-73,,,67.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/OilzjJvJTP5V_eyiVzLqequBX_abdhussalam_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/PBZOQuweg213_abdhussalam_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'IndianRojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Indian Rojak']
6,7603,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201108/gvTyJ6Uci2fi_selerakita_sf.jpg,Selera Kita,73,West Coast Drive Blk 503,01-72,,,82.0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/HakJHDqe0N8Q_SruYl4Q5yG4V_selerakita_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/gvTyJ6Uci2fi_selerakita_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Nasi Lemak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Nasi Lemak', 'Mee Siam']"
7,7604,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/whvz76ZKKeJ2_HjrtLV4rw1ba_aajmalriyais_m1.jpg,A.Ajmal Riyais Cafe,0,West Coast Drive Blk 503,01-71,,,0.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/whvz76ZKKeJ2_HjrtLV4rw1ba_aajmalriyais_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
8,7605,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201209/CqcSPBXIs8wM_Mohamed Raihan (Indian Muslim Food) _Stall.jpg,Mohamed Raihan (Indian Muslim Food),69,West Coast Drive Blk 503,01-70,,Mon - Sun: 9am-11pm,71.0,"[{'Name': '', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/CqcSPBXIs8wM_Mohamed%20Raihan%20%28Indian%20Muslim%20Food%29%20_Stall.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/EK1eOLfbCpLn_Mohamed%20Raihan%20%28Indian%20Muslim%20Food%29%20_Menu.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Indian']
9,7606,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Z3wrWb4aMHuc_9Z5F5AD3UaK6_putrihana_m1.jpg,Putri Hana,67,West Coast Drive Blk 503,01-69,,Mon - Sun: 10am-9pm,0.0,"[{'Name': 'Ayam Penyet', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Ayam Geprek Sambal', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Z3wrWb4aMHuc_9Z5F5AD3UaK6_putrihana_m1.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Ayam Penyet', 'Malay Cuisine']"
