,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,12098,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xideli_sf.jpg,Xi De Li,67,,01-04,0,,,xideli,,1,485,,0,10,1,70,2020-10-30T22:59:43.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Hum Chee Peng', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'You TIao', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xideli_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['You Tiao'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
1,12099,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xiangxiang_sf.jpg,Xiang Xiang Chwee Kueh,71,,01-05,0,,,xiangxiang,,1,485,"Tue - Sun: 7am-1pm, Closed on Mon",0,12,1,75,2020-10-30T22:59:43.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Chwee Kueh', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xiangxiang_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Chwee Kueh'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
2,12100,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/724amkcarrotcake_sf.jpg,724 AMK Carrot Cake,69,,01-06,0,,,724amkcarrotcake,,1,485,,80,10,1,80,2020-10-30T22:59:43.000Z,2022-01-17T20:00:03.000Z,"[{'Name': 'Carrot Cake', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/724amkcarrotcake_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Carrot Cake'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
3,12101,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/1TlHZ5aIz3jh_A5iarbLhPeTa_teowchewkwaytiaomee_sf.jpg,Teowchew Kway Tiao Mee,71,,01-07,0,,,teowchew-kway-tiao-mee,,1,485,"Tues - Sat: 6am - 10.30am, Closed on Mon & Sun",0,4,1,74,2020-10-30T22:59:43.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Kway Teow', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/1TlHZ5aIz3jh_A5iarbLhPeTa_teowchewkwaytiaomee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kway Teow'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
4,12102,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/VUzx6bEGCxSJ_oX9vy1f94UvS_auntiejunes_sf.jpg,Auntie June's Nasi Lemak,68,,01-08,0,,,auntiejunes,,1,485,"Mon - Sun: 7am-3pm, Closed on Fri ",66,10,1,70,2020-10-30T22:59:43.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Nasi Lemak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/VUzx6bEGCxSJ_oX9vy1f94UvS_auntiejunes_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Nasi Lemak'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
5,12103,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/gPXEWpxAsy72_iEhlEYmCk0Kn_wubajiu_sf.jpg,Wu Ba Jiu Coffee,0,,01-09,0,,,wubajiu,,1,485,Mon - Sun: 4am-2pm,77,0,1,0,2020-10-30T22:59:43.000Z,2021-10-14T03:23:28.000Z,"[{'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/gPXEWpxAsy72_iEhlEYmCk0Kn_wubajiu_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
6,12104,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hillviewsteamfood_sf.jpg,Hill View Steam Food,68,,01-10,0,,,hillviewsteamfood,,1,485,"Tues - Sun: 4.30am-10.30am, Closed on Mon",77,0,1,0,2020-10-30T22:59:43.000Z,2021-10-14T03:23:29.000Z,"[{'Name': 'Nasi Lemak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Porridge', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hillviewsteamfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Porridge']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
7,12105,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/wjwTawLnUwZA_eSkHxRiEUTaW_balestiercafe_sf.jpg,Balestier Cafe,0,,01-11,0,,,balestiercafe,,1,485,,77,12,1,77,2020-10-30T22:59:44.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Kaya Toast', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/wjwTawLnUwZA_eSkHxRiEUTaW_balestiercafe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Kaya Toast']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
8,12106,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hengkeecookedfood_sf.jpg,Heng Kee Cooked Food,71,,01-12,0,,,hengkeecookedfood,,1,485,Mon - Sun: 7am-2pm,0,0,1,76,2020-10-30T22:59:44.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Fishball Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Seafood Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/hengkeecookedfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Seafood Soup']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
9,12107,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/curryrice_sf.jpg,Curry Rice,71,,01-13,0,,,curryrice,,1,485,Mon - Sun: 7am-11am,73,0,1,0,2020-10-30T22:59:44.000Z,2021-10-14T03:23:31.000Z,"[{'Name': 'Curry Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/curryrice_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Curry'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
10,12108,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210913/5dIT1XQr95J7_Xin Heng Feng Guo Tiao Tan @ Whampoa Blk 91.jpeg,Xin Heng Feng Guo Tiao Tan,73,,01-14,0,,,xinhengfeng,,1,485,"Wed - Mon: 5am-9.30pm, Closed on Tue",73,1,1,73,2020-10-30T22:59:44.000Z,2021-11-08T16:13:19.000Z,"[{'Name': 'Fishball Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xinhengfeng_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xinhengfeng_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Fishball Noodles', 'Wanton Mee']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
11,12109,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/economicalbeehoon_sf.jpg,Economical Bee Hoon,68,,01-16,0,,,economicalbeehoon,,1,485,Mon - Sun: 4am-11am,67,2,1,67,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Bee Hoon', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/economicalbeehoon_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Economy Bee Hoon'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
12,12110,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xinlongdouhuashui_sf.jpg,Xin Long Dou Hua Shui,72,,01-17,0,,,xinlongdouhuashui,,1,485,,0,12,1,76,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Soya Bean', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Bean Curd', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/xinlongdouhuashui_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
13,12111,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/nurilahmalayfood_sf.jpg,Nurilah Malay Food,72,,01-18,0,,,nurilahmalayfood,,1,485,Mon - Sun: 5am-3pm,0,7,1,76,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Nasi Lemak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Nasi Padang', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/nurilahmalayfood_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Nasi Lemak', 'Nasi Padang']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
14,12112,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/bestlumianintown_sf.jpg,Best Lu Mian In Town,81,,01-19,0,,,bestlumianintown,,1,485,Mon - Sun: 8am-2pm,0,7,1,76,2020-10-30T22:59:44.000Z,2021-10-14T03:23:34.000Z,"[{'Name': 'Lor Mee', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/bestlumianintown_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Lor Mee'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
15,12113,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/BedR0nqHdPlG_h8V64nrBFeOL_whampoabengkeewantonnoodle_sf.jpg,Whampoa Beng Kee Wanton Noodle,68,,01-20,0,,,whampoabengkeewantonnoodle,,1,485,,0,13,1,71,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Wanton Mee', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/BedR0nqHdPlG_h8V64nrBFeOL_whampoabengkeewantonnoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Wanton Mee'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
16,12114,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/IH8TadXJWXsr_N76YaTJgTpgt_xiangmatraditionaltaste_sf.jpg,Xiang Ma Traditional Taste,72,,01-22,0,,,xiangmatraditionaltaste,,1,485,,0,9,1,74,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Mee Siam', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Mee Rebus', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/IH8TadXJWXsr_N76YaTJgTpgt_xiangmatraditionaltaste_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Mee Siam', 'Mee Rebus']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
17,12115,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/beeguanteahouse_sf.jpg,Bee Guan Tea House,0,,01-23,0,,,beeguanteahouse,,1,485,Mon - Sun: 7am-3pm,0,11,1,69,2020-10-30T22:59:44.000Z,2021-12-20T15:43:48.000Z,"[{'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blks 91-92 Whampoa Drive/beeguanteahouse_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Beverages'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
18,12116,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/2d2O2GIxFa7R_5MWFEXtFAQT1_chinawhampoahomemadenoodle_sf.jpg,China Whampoa Home Made Noodle,83,,01-24,0,,,chinawhampoahomemadenoodle,,1,485,"Tues - Sun: 8am-2pm, Closed on Mon",76,0,1,0,2020-10-30T22:59:44.000Z,2021-10-14T03:23:36.000Z,"[{'Name': 'Ban Mian', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/2d2O2GIxFa7R_5MWFEXtFAQT1_chinawhampoahomemadenoodle_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220113/rFPSkvMU3crx_Menu.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220113/ukniFIgbu5lG_Dishes_1.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220113/TEuKDcAebI5v_Dish2_Action2.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://hawkerpedia.ewr1.vultrobjects.com/article/20220113/GuMTsv0w1WVZ_Dish1_Action1.jpeg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Ban Mian'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
19,12117,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/Z6dAXW0JkIBL_WDufIjbN6Zjg_shuikuehsingapore_sf.jpg,Shui Kueh Singapore,80,,01-25,0,,,shuikuehsingapore,,1,485,,0,5,1,70,2020-10-30T22:59:44.000Z,2021-11-08T16:13:44.000Z,"[{'Name': 'Chwee Kueh', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/Z6dAXW0JkIBL_WDufIjbN6Zjg_shuikuehsingapore_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chwee Kueh', 'Chee Cheong Fun']",False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
20,12118,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201125/Oa47svw0HbYH_1vVMbHE6we6S_famousbedokkwaychap_sf.jpg,Famous Bedok Kway Chap,68,,01-26,0,,,famousbedokkwaychap,,1,485,,0,0,1,76,2020-10-30T22:59:44.000Z,2022-01-17T20:00:03.000Z,"[{'Name': 'Kway Chap', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201125/Oa47svw0HbYH_1vVMbHE6we6S_famousbedokkwaychap_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Kway Chap'],False,whampoa-makan-place-blk-91,Whampoa Makan Place Blk 91,485,,,en,[], 
