,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,8500,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/xN5jXZmnA23d_OKErnUkgKoAd_chakee_sf.jpg,Cha Kee Mei Shi,92,Whampoa Drive Blk 90,01-04,,,70.5,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/xN5jXZmnA23d_OKErnUkgKoAd_chakee_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Chee Cheong Fun', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Chee Cheong Fun']
1,8501,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/5DHctc1lJRmW_v9Vu5wf8fRyP_kohs_sf.jpg,Koh's Curry Puff,85,Whampoa Drive Blk 90,01-05,,Mon - Sun: 9am-7pm,75.0,"[{'Name': 'Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Curry Puff', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/5DHctc1lJRmW_v9Vu5wf8fRyP_kohs_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Kueh', 'Curry Puffs']"
2,8502,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/dzpTeiYo93H0_uSuB3BuJ172k_balestierroadhoover_sf.jpg,Balestier Road Hoover Rojak,90,Whampoa Drive Blk 90,01-06,,"Wed - Sun: 11.30am-9pm, Closed on Mon & Tue",81.0,"[{'Name': 'Rojak', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/dzpTeiYo93H0_uSuB3BuJ172k_balestierroadhoover_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Rojak']
3,8503,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/Wq4jXLPjC6U4_mK8kfZx597YK_liangzhaoji_sf.jpg,Liang Zhao Ji Duck Porridge,70,Whampoa Drive Blk 90,01-07,,"Wed - Sun: 10.30am-3.30pm, Closed on Mon & Tue",0.0,"[{'Name': 'Braised Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/Wq4jXLPjC6U4_mK8kfZx597YK_liangzhaoji_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Braised Meat & Duck']
4,8504,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 90 Whampoa Drive/mingji_sf.jpg,Ming Ji roasted Duck & Herbal Soup,76,Whampoa Drive Blk 90,01-08,,"Mon - Sun: 11am-7pm, Closed on Wed",0.0,"[{'Name': 'Roast Duck', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Herbal Soup', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 90 Whampoa Drive/mingji_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]","['Herbal Soup', 'Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
5,8505,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/NXgtwBmUMC8z_ZOTeT9KYZf7p_zhonghe_sf.jpg,Zhong He Drink Stall,0,Whampoa Drive Blk 90,01-09,,,80.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/NXgtwBmUMC8z_ZOTeT9KYZf7p_zhonghe_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,8506,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Ne9NEGWOWMrM_84d8oEi2lt6z_howhup_sf.jpg,How Hup BBQ Seafood,74,Whampoa Drive Blk 90,01-10,,Mon - Sun: 9am-9pm,0.0,"[{'Name': 'Seafood', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Ne9NEGWOWMrM_84d8oEi2lt6z_howhup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Seafood']
7,8507,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/tHrUahx6LIQq_xNMz2ES5HVjC_fruitdrinks_sf.jpg,Fruit Drinks Stall,0,Whampoa Drive Blk 90,01-11,,,70.0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/tHrUahx6LIQq_xNMz2ES5HVjC_fruitdrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Beverages', 'Fruits & Juices']"
8,8508,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/wW4oW0SrDbZC_HSoajGzMtaNC_sweeleewestern_sf.jpg,Swee Lee Western Food,70,Whampoa Drive Blk 90,01-12,,Mon -Sun: 6am-10pm,77.0,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/wW4oW0SrDbZC_HSoajGzMtaNC_sweeleewestern_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/Z8C9K7ymuJU5_3.%20Top%20down%20all%20%281%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/MOG8D6aNscws_7.%20Half%20Spring%20Chicken%20-%20action.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/zdT1dXteEPpo_8.%20Pork%20Chop%20-%20Top%20Down.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine']
9,8509,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/Y1Z1oBO6pxBi_eXn8Zpckf5cW_satayguan_sf.jpg,Satay Guan,85,Whampoa Drive Blk 90,01-13,,"Thu - Tue: 3pm-11pm, Closed on Wed",0.0,"[{'Name': 'Satay', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Tahu Goreng', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/Y1Z1oBO6pxBi_eXn8Zpckf5cW_satayguan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/EDOdgsi1ODle_3.%20Top%20Down%20%283%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/UvYja0ZAgV3X_9.%20Action%20%282%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201110/4YSVK19JwzGa_8.%20Action%20%282%29.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Satay', 'Tahu Goreng']"
