,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11216,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/PBPfhQByCrhp_b33lHr6uST7z_halalhotcolddrinks_sf.jpg,Halal Hot & Cold Drinks,0,,01-06,0,,,halalhotcolddrinks,,1,404,,0.0,0,1,77,2020-10-30T22:58:43.000Z,2021-10-14T03:16:51.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/PBPfhQByCrhp_b33lHr6uST7z_halalhotcolddrinks_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Beverages'],False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
1,11217,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/AZk41fLABmOg_uHXaDrP08SWR_memeshiguang_sf.jpg,Me Me Shi Guang,0,,01-09,0,,,memeshiguang,,1,404,,0.0,0,1,81,2020-10-30T22:58:43.000Z,2022-01-17T20:04:54.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/AZk41fLABmOg_uHXaDrP08SWR_memeshiguang_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Beverages', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Fruits', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Beverages', 'Fruits & Juices']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
2,11218,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/LIupr0u54MGg_frludrPzR3hH_sjrotiprata_sf.jpg,SJ Roti Prata,71,,01-10,0,,,sjrotiprata,,1,404,"Mon - Sun: 6am-10pm, Closed on alternate Wed",0.0,0,0,79,2020-10-30T22:58:43.000Z,2021-11-08T16:13:48.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/LIupr0u54MGg_frludrPzR3hH_sjrotiprata_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Mee Goreng', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Roti Prata', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Mee Goreng', 'Roti Prata']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
3,11219,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/bYVWNgt6bUOp_wvVuVrqA1Jy2_68spinachsoup_sf.jpg,68 Spinach Soup,66,,01-11,0,,,68spinachsoup,,1,404,"Mon, Tue, Thu, Fri: 10am-8pm, Sat, Sun & PH: 8am-8pm, Closed on Wed",72.0,0,0,72,2020-10-30T22:58:43.000Z,2021-11-08T16:13:48.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/bYVWNgt6bUOp_wvVuVrqA1Jy2_68spinachsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Yong Tau Foo', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Spinach Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Yong Tau Foo', 'Spinach Soup']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
4,11220,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/iynmVH8tARG1_Zj8ATwMbszSk_handmadewantonnoodles_sf.jpg,Handmade Wanton Noodles,68,,01-12,0,,,handmadewantonnoodles,,1,404,"Tue - Sun: 9am-8pm, Closed on Mon",0.0,0,0,78,2020-10-30T22:58:43.000Z,2021-11-08T16:13:21.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/iynmVH8tARG1_Zj8ATwMbszSk_handmadewantonnoodles_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Wanton Mee'],False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
5,11221,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/hsqp23vB7GKo_3EfpnbeiyQp9_nainaskitchen_sf.jpg,Naina's Kitchen,66,,01-13,0,,,nainaskitchen,,1,404,,0.0,4,1,72,2020-10-30T22:58:43.000Z,2021-10-14T03:16:53.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/hsqp23vB7GKo_3EfpnbeiyQp9_nainaskitchen_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Nasi Biryani', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Indian Rojak', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Biryani', 'Indian Rojak']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
6,11222,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/ln8l9dztrqYH_AdWoILDa7pli_flavourfulfishsoup_sf.jpg,Flavourful Fish Soup,60,,01-14,0,,,flavourfulfishsoup,,1,404,,0.0,0,0,73,2020-10-30T22:58:43.000Z,2021-10-14T03:16:53.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/ln8l9dztrqYH_AdWoILDa7pli_flavourfulfishsoup_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fish Soup', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",['Fish Soup'],False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
7,11223,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/M4kcQ75mpIMQ_J5LD8y9hWpcM_dasanyuan_sf.jpg,Da San Yuan Fishball Minced Meat Noodle,71,,01-15,0,,,dasanyuan,,1,404,Fri - Wed: 7am-9pm. Closed on Thu,0.0,0,1,77,2020-10-30T22:58:44.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/M4kcQ75mpIMQ_J5LD8y9hWpcM_dasanyuan_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Fishball Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Minced Meat Noodles', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Fishball Noodles', 'Minced Meat Noodles', 'Bak Chor Mee']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
8,11224,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/bvkdIGpGZRCo_ro0u7W14xSqD_roasteddelight_sf.jpg,Roaster Delight,68,,01-16,0,,,roasteddelight,,1,404,,77.0,2,1,75,2020-10-30T22:58:44.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/bvkdIGpGZRCo_ro0u7W14xSqD_roasteddelight_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Roast Meat', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}, {'Name': 'Char Siew Rice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']",False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
9,11225,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/2C0lbPaYFhAf_cglD9rd6t8Pk_hidekiaburigoodness_sf.jpg,Hideki ,74,,01-17,0,,,hideki-yishun-park,,1,404,Mon - Sun: 11am-8pm,0.0,0,0,77,2020-10-30T22:58:44.000Z,2021-12-20T15:46:28.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/2C0lbPaYFhAf_cglD9rd6t8Pk_hidekiaburigoodness_sf.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Japanese', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Japanese Cuisine'],False,yishunparkfc,Yishun Park Hawker Centre,404,,,en,[], 
