,Id,Thumbnail,Name,Rating,BusinessName,UnitNo,PhoneNumber,OperationHours,CommunityRating,HighlightItems,FoodCategories
0,6987,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/xiangji_m1.JPG,Xiang Ji Cooked Food,68,Yuhua Village Food Centre ,01-53,,,0,"[{'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/xiangji_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}]",['Porridge']
1,6988,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/7EkGTZgyJlmj_WoHZTBzJwC1v_easterntraditiondelicacies_sf.JPG,Eastern Tradition Delicacies,73,Yuhua Village Food Centre ,01-54,,,0,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/7EkGTZgyJlmj_WoHZTBzJwC1v_easterntraditiondelicacies_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'La Che Mian', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]",[]
2,6989,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/kvBPH9qLLPQA_pHtMKpR5PHD2_a1cookedfood_m1.JPG,A1 Cooked Food,69,Yuhua Village Food Centre ,01-55,,,73,"[{'Name': 'Roast Meat', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/kvBPH9qLLPQA_pHtMKpR5PHD2_a1cookedfood_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/tccWgJeDMC9h_a1cookedfood_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Char Siew', 'Siew Yoke', 'Roast Meat', 'Roast Pork', 'Roast Duck']"
3,6990,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/qingxiang_sf.JPG,Qing Xiang Cooked Food,73,Yuhua Village Food Centre ,01-56,,,67,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/qingxiang_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/qingxiang_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Bak Kut Teh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Hokkien Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]","['Bak Kut Teh', 'Hokkien Mee']"
4,6991,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/weporridge_sf.JPG,We Porridge,69,Yuhua Village Food Centre ,01-57,,Mon - Sun: 8.30am-10pm,0,"[{'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/weporridge_m1.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Blk 254 Jurong East Street 24/weporridge_sf.JPG', 'RedirectUrl': None, 'Type': 0, 'Rating': 2}, {'Name': 'Porridge', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Porridge']
5,6992,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MajeCoe5wPUV_9ugwPFX0B1S9_pinxian_m1.JPG,Pin Xian Drinks & Dessert (Thailand),0,Yuhua Village Food Centre ,01-58,,Mon - Sun: 6am-8pm,0,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MajeCoe5wPUV_9ugwPFX0B1S9_pinxian_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
6,6993,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/oxTVV7z5w99U_rNp7p3kUeXfZ_meiweisnacks_sf.JPG,Mei Wei Snacks,68,Yuhua Village Food Centre ,01-59,,,0,"[{'Name': 'Chee Cheong Fun', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Teochew Kueh', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/oxTVV7z5w99U_rNp7p3kUeXfZ_meiweisnacks_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Chee Cheong Fun', 'Teochew Kueh']"
7,6994,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/MS9NfavtnA7B_FpqmF0BSY27B_srimenanti_sf.JPG,Sri Menanti,69,Yuhua Village Food Centre ,01-60,,,77,"[{'Name': 'Lontong', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': 'Mee Siam', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/MS9NfavtnA7B_FpqmF0BSY27B_srimenanti_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]","['Lontong', 'Mee Siam']"
8,6995,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/TuOLzv24Zqa7_IvffY64uZbyh_gongxifacaieatinghouse_m1.JPG,Gong Xi Fa Cai Eating House,69,Yuhua Village Food Centre ,01-11,,Mon - Sun: 5.30pm-10pm,67,"[{'Name': 'Zi Char', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/TuOLzv24Zqa7_IvffY64uZbyh_gongxifacaieatinghouse_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201108/IaQYWq0l6E7L_gongxifacaieatinghouse_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Zi Char']
9,6996,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/KLvbMSrcLHxc_engkeenoodlehouse_m1.JPG,Eng Kee Noodle House,68,Yuhua Village Food Centre ,01-10,,,70,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/JcL0ZqHOJLln_BAZrog0axvu0_engkeenoodlehouse_sf.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 0}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/vPbrA9YSCSXi_jge0OxO4wbHV_engkeenoodlehouse_m2.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 1}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/KLvbMSrcLHxc_engkeenoodlehouse_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 2}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee']
10,6997,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201123/FC30kXptNbIz_umtGSF1rh7pL_jinleteastall_m1.JPG,Jin Li Tea Stall,0,Yuhua Village Food Centre ,01-09,,,67,"[{'Name': 'Beverages', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201123/FC30kXptNbIz_umtGSF1rh7pL_jinleteastall_m1.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Beverages']
