,Id,Thumbnail,Name,Rating,Address,UnitNo,StallType,Email,PhoneNumber,Slug,Tag,Status,FK_Business,OperationHours,CommunityRating,NoOfRating,PaylahPublished,OriginalCommunityRating,CreatedAt,UpdatedAt,HighlightItems,FoodCategories,Availability,BusinessSlug,BusinessName,BusinessId,LongDescription,ShortDescription,Lang,Cuisines,Photo
0,11167,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/ZRm5KcOXvZMH_18zion_sf.png,No. 18 Zion Road Fried Kway Teow,80,,01-17,0,,,18zion,,1,406,Mon - Sun: 12.30pm - 9pm,0.0,9,0,70,2020-10-30T22:58:37.000Z,2021-11-08T16:13:41.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/ZRm5KcOXvZMH_18zion_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Char Kway Teow', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Char Kway Teow'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
1,11168,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/2vpfuyA3KRM4_laugoh_sf.png,Lau Goh Teochew Chye Thow Kway,90,,01-26,0,,,laugoh,,1,406,"Mon, Wed - Sat: 11am-3.30pm, 6pm-11pm, Sun: 8.30am-4pm, Closed on Tue",0.0,2,1,74,2020-10-30T22:58:37.000Z,2022-01-17T20:00:01.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/2vpfuyA3KRM4_laugoh_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Carrot Cake', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Carrot Cake'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
2,11169,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/NcSitIlKxxpx_ahwang_sf.png,Ah Wang La Mian Xiao Long Bao,95,,01-22,0,,,ahwang,,1,406,"Tue - Sun: 11am-10pm, Closed on Mon",100.0,4,1,74,2020-10-30T22:58:37.000Z,2022-01-17T20:00:01.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/NcSitIlKxxpx_ahwang_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/6cm0mQSoPkOb_ahwang_m1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Xiao Long Bao', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/cXw2OwZwT3t7_IMG_0892.JPG', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/DnrvSiDjmxZK_XLB.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201116/aHW2vkJJp5GK_XLB2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Xiao Long Bao'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
3,11170,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201209/GgxOWOS20bAn_Seng Huat Western Food_Stall.png,Seng Huat Western Food,70,,01-12,0,,,sh,,1,406,"Fri - Wed: 11.30am-2pm, 4pm-8.30pm, Closed on Thu",70.0,5,1,70,2020-10-30T22:58:37.000Z,2021-11-08T16:13:41.000Z,"[{'Name': 'Western', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/GgxOWOS20bAn_Seng%20Huat%20Western%20Food_Stall.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201209/sQAP1rfnJfdC_Seng%20Huat%20Western%20Food_Menu.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/FJycOcg09wtX_Seng%20Huat%20%40%20Zion_Img1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/d5DZUApVjm9e_Seng%20Huat%20%40%20Zion_Img2.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/8nsHf0OAEOYu_Seng%20Huat%20%40%20Zion_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201026/L6rPP99vGRMc_Seng%20Huat%20%40%20Zion_Img4.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Western Cuisine'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
4,11171,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201124/u13YAeFIunUp_btk_sf.png,Boon Tong Kee Kway Chap,78,,01-24,0,,,ntk,,1,406,"Mon, Tue, Thu - Sun: 11am-10pm, Closed on Wed",72.0,2,1,72,2020-10-30T22:58:37.000Z,2021-11-08T16:13:18.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201124/u13YAeFIunUp_btk_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Kway Chap', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Kway Chap'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
5,11172,https://oss.hawkerpedia.com.sg/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_sf.jpg,House of Soya Bean,80,,01-11,0,,,soya,,1,406,,78.0,0,1,78,2020-10-30T22:58:37.000Z,2021-11-08T16:13:18.000Z,"[{'Name': 'Soya Bean', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_sf.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': None, 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/hawker-centre-manually/Zion Riverside FC/soya_m1.jpg', 'RedirectUrl': None, 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/9XniHstnCEbE_House%20of%20Soya%20Bean_Img2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/NmolaV4Bfhsu_House%20of%20Soya%20Bean_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/EhQfA4ZUa04f_House%20of%20Soya%20Bean_Img4.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/nI9gN0w3H2Me_House%20of%20Soya%20Bean_Img1.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Soya Bean'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
6,11173,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/20210812/YlpFWH53EiTi_Screenshot 2021-08-12 at 9.21.27 AM.png,Zion Road Big Prawn Noodle,90,,01-04,0,,,zion-road-big-prawn-noodle,,1,406,"Mon - Sun: 12pm-3pm, 6pm-11.30pm",76.25,3,1,79,2020-10-30T22:58:38.000Z,2021-10-14T03:16:30.000Z,"[{'Name': 'Prawn Noodle', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/ibRKxUysCh1x_Fresh%20Taste%20Adam%20Road%20Prawn%20Noodles_Img3.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/article/20201028/O9230DCSYiMQ_Fresh%20Taste%20Adam%20Road%20Prawn%20Noodles_Img2.jpg', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}]",['Prawn Noodles'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
7,11175,https://oss.hawkerpedia.com.sg/hawkerpedia/highlight-item/20201107/Mig2rp1OE4F6_wuxiang_sf.png,Five Spice Prawn Fritter,98,,01-07,0,,,wuxiang,,1,406,"Tue - Sun: 12pm-2pm, Closed on Mon",77.0,2,0,77,2020-10-30T22:58:38.000Z,2022-01-17T20:00:01.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/Mig2rp1OE4F6_wuxiang_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Ngoh Hiang', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Ngoh Hiang'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
8,11176,https://ewr1.vultrobjects.com/hawkerpedia/stall/Kang%27sWantonNoodle.jpeg,Kang's Wanton Noodle ,60,,01-06,0,,,kang's-wanton-noodle,,1,406,,67.0,13,1,67,2020-10-30T22:58:38.000Z,2021-09-01T05:16:02.000Z,"[{'Name': '', 'Description': '', 'Image': 'https://ewr1.vultrobjects.com/hawkerpedia/highlight-item/20201107/4GynPrRGzdZ0_xf_sf.png', 'RedirectUrl': '', 'Type': 0, 'Rating': 99}, {'Name': 'Wanton Mee', 'Description': None, 'Image': '', 'RedirectUrl': None, 'Type': 1, 'Rating': 99}]",['Wanton Mee'],False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
9,13225,https://oss.hawkerpedia.com.sg/hawkerpedia/stall/848FreshFruitSugarCaneJuice.jpeg,848 Fresh Fruit & Sugar Cane Juice,72,,01-16,0,,,848-fresh-fruit-&-sugar-cane-juice,0.0,1,406,,70.0,0,0,70,2021-08-06T02:35:18.000Z,2021-10-14T03:27:41.000Z,"[{'Name': 'Fruit Juice', 'Description': '', 'Image': '', 'RedirectUrl': '', 'Type': 1, 'Rating': 99}]","['Fruit Juice', 'Beverages']",False,zionriversidefc,Zion Riverside Food Centre,406,,,en,[], 
